,Parcel ID,Address,date,price,yr_blt,sf,full_address,unique_ID,price_sf,sale_year,year,month,year-month
11,134E01023000,1416 SHINGLE WAY,2021-07-22,320000.0,1999,2059,"1416 SHINGLE WAY Henry County, GA",134E01023000-7/22/2021-320000.0,155.41525012141815,2021,2021,7,2021-7
13,093B01131000,1215 LABONTE PKWY,2021-07-29,125000.0,2004,1375,"1215 LABONTE PKWY Henry County, GA",093B01131000-7/29/2021-125000.0,90.9090909090909,2021,2021,7,2021-7
14,030A01040000,247 NORTH BRIDGE DR,2021-07-16,212000.0,1987,1464,"247 NORTH BRIDGE DR Henry County, GA",030A01040000-7/16/2021-212000.0,144.8087431693989,2021,2021,7,2021-7
15,146E01012000,236 ROBERTS TRL,2021-07-19,208000.0,1998,1332,"236 ROBERTS TRL Henry County, GA",146E01012000-7/19/2021-208000.0,156.15615615615616,2021,2021,7,2021-7
18,080H01001000,7004 BLUE SKY DR,2021-07-08,368000.0,2019,3618,"7004 BLUE SKY DR Henry County, GA",080H01001000-7/8/2021-368000.0,101.71365395245992,2021,2021,7,2021-7
20,144E01036000,169 CARAWAY RD,2021-07-13,406700.0,2014,2701,"169 CARAWAY RD Henry County, GA",144E01036000-7/13/2021-406700.0,150.57386153276565,2021,2021,7,2021-7
26,156-01003038,375 ANTIOCH RD,2021-07-30,275000.0,1998,1535,"375 ANTIOCH RD Henry County, GA",156-01003038-7/30/2021-275000.0,179.1530944625407,2021,2021,7,2021-7
27,143D02061000,69 KIMBELL FARM DR,2021-07-07,281000.0,2006,2131,"69 KIMBELL FARM DR Henry County, GA",143D02061000-7/7/2021-281000.0,131.86297512904738,2021,2021,7,2021-7
28,135D01033000,1205 COOPER RDG,2021-07-01,500000.0,2003,2945,"1205 COOPER RDG Henry County, GA",135D01033000-7/1/2021-500000.0,169.7792869269949,2021,2021,7,2021-7
33,050C01036000,174 GARDEN WALK,2021-07-16,250000.0,1997,1221,"174 GARDEN WALK Henry County, GA",050C01036000-7/16/2021-250000.0,204.75020475020474,2021,2021,7,2021-7
