,Parcel ID,county,date,year,month,year-month,price,yr_blt,sf,price_sf,lat,long,GEOID,Sub_geo
0,148F01012000,"124 COULTER WOODS DR Henry County, GA",10/28/21,2021,10,2021-10,305000,2018,1857,164.2434033,33.3029416,-84.0867429,13151070412,South Henry
1,148F01012000,"124 COULTER WOODS DR Henry County, GA",3/14/19,2019,3,2019-3,196400,2018,1857,105.7619817,33.3029416,-84.0867429,13151070412,South Henry
2,148F01007000,"114 COULTER WOODS DR Henry County, GA",2/19/19,2019,2,2019-2,200000,2018,1918,104.2752868,33.303008,-84.0853813,13151070412,South Henry
3,148F01006000,"112 COULTER WOODS DR Henry County, GA",3/14/19,2019,3,2019-3,194800,2018,1794,108.5841695,33.3030836,-84.0851337,13151070412,South Henry
4,148F01004000,"108 COULTER WOODS DR Henry County, GA",6/30/22,2022,6,2022-6,343400,2018,1809,189.8286346,33.3032786,-84.0846385,13151070412,South Henry
5,148F01015000,"119 COULTER WOODS DR Henry County, GA",8/5/21,2021,8,2021-8,265000,2018,1841,143.943509,33.3033909,-84.0860827,13151070412,South Henry
6,148F01014000,"121 COULTER WOODS DR Henry County, GA",5/6/22,2022,5,2022-5,355000,2018,1829,194.095134,33.3034484,-84.0863716,13151070412,South Henry
7,148F01002000,"104 COULTER WOODS DR Henry County, GA",2/19/21,2021,2,2021-2,226000,2018,1806,125.1384275,33.3034755,-84.0841846,13151070412,South Henry
8,148F01030000,"107 COULTER WOODS DR Henry County, GA",3/8/21,2021,3,2021-3,235500,2016,1820,129.3956044,33.3038447,-84.0845973,13151070412,South Henry
9,148F01026000,"206 GRAYDON CT Henry County, GA",10/30/20,2020,10,2020-10,222500,2018,1794,124.0245262,33.3039694,-84.0853813,13151070412,South Henry
10,148F01026000,"206 GRAYDON CT Henry County, GA",3/6/19,2019,3,2019-3,199500,2018,1794,111.2040134,33.3039694,-84.0853813,13151070412,South Henry
11,148F01025000,"212 GRAYDON CT Henry County, GA",1/16/19,2019,1,2019-1,185200,2018,1863,99.40955448,33.3041116,-84.0851543,13151070412,South Henry
12,148F01024000,"214 GRAYDON CT Henry County, GA",1/18/19,2019,1,2019-1,186800,2018,1863,100.2683843,33.3041644,-84.0848861,13151070412,South Henry
13,148F01023000,"216 GRAYDON CT Henry County, GA",5/4/21,2021,5,2021-5,251900,2018,1794,140.4124861,33.3043255,-84.0845973,13151070412,South Henry
14,148F01018000,"211 GRAYDON CT Henry County, GA",5/9/19,2019,5,2019-5,187700,2018,1962,95.66768603,33.3045474,-84.0855876,13151070412,South Henry
15,148F01022000,"218 GRAYDON CT Henry County, GA",1/31/19,2019,1,2019-1,188200,2018,1863,101.0198604,33.3045857,-84.084556,13151070412,South Henry
16,148F01019000,"213 GRAYDON CT Henry County, GA",8/9/22,2022,8,2022-8,316500,2019,1782,177.6094276,33.3046249,-84.0853813,13151070412,South Henry
17,148F01020000,"215 GRAYDON CT Henry County, GA",7/30/21,2021,7,2021-7,279900,2018,1782,157.0707071,33.304788,-84.0851337,13151070412,South Henry
18,148F01020000,"215 GRAYDON CT Henry County, GA",5/22/19,2019,5,2019-5,186700,2018,1782,104.7699214,33.304788,-84.0851337,13151070412,South Henry
19,148F01021000,"217 GRAYDON CT Henry County, GA",10/18/21,2021,10,2021-10,294000,2018,1798,163.5150167,33.304814,-84.0847623,13151070412,South Henry
20,148-01001021,"1090 LOCUST RD Henry County, GA",6/14/18,2018,6,2018-6,136900,2003,1560,87.75641026,33.3051283,-84.0840196,13151070412,South Henry
21,131-01022000,"652 HOSANNAH RD Henry County, GA",8/26/19,2019,8,2019-8,234500,2005,1924,121.8814969,33.3060464,-84.101513,13151070412,South Henry
22,148E01026000,"432 BELL FLOWER TRL Henry County, GA",9/24/21,2021,9,2021-9,255000,2007,2844,89.66244726,33.3069653,-84.0812961,13151070412,South Henry
23,148E01035000,"220 CRANESBILL WAY Henry County, GA",4/21/21,2021,4,2021-4,239000,2007,2199,108.6857663,33.3069702,-84.0832355,13151070412,South Henry
24,148B01031000,"325 SHELLEY LN Henry County, GA",9/24/21,2021,9,2021-9,220000,2001,1500,146.6666667,33.3070114,-84.0905389,13151070412,South Henry
25,148E01020000,"408 BELL FLOWER TRL Henry County, GA",6/22/21,2021,6,2021-6,215000,2007,2199,97.77171442,33.3076331,-84.0806358,13151070412,South Henry
26,148E01041000,"111 ASTILBE MEADOW DR Henry County, GA",1/8/21,2021,1,2021-1,200400,2007,2199,91.13233288,33.3077462,-84.0836318,13151070412,South Henry
27,148E01042000,"201 CRANESBILL WAY Henry County, GA",6/24/19,2019,6,2019-6,180000,2007,2837,63.44730349,33.3077548,-84.0831943,13151070412,South Henry
28,148-01001005,"942 LOCUST RD Henry County, GA",8/20/18,2018,8,2018-8,180000,1995,1954,92.11873081,33.3078269,-84.0856288,13151070412,South Henry
29,148E01012000,"144 ASTILBE MEADOW DR Henry County, GA",11/30/18,2018,11,2018-11,147500,2007,1988,74.19517103,33.3081467,-84.0822452,13151070412,South Henry
